"","quad","year","trackID","area","survives","age","distEdgeMin","allEdge","quadname","Grazing","Group"
"158","q23",71,94,5.54646,0,1,14.7955093383789,0,"e1q4a.1","No","lb1"
"159","q23",71,91,0.7189099,0,1,15.601936340332,0,"e1q4a.1","No","lb1"
"160","q23",71,93,7.724831,0,1,18.8345565795898,0,"e1q4a.1","No","lb1"
"161","q23",71,85,5.056773,0,1,2.25617218017578,1,"e1q4a.1","No","lb1"
"162","q23",71,90,0.7189082,0,1,14.0608520507812,0,"e1q4a.1","No","lb1"
"163","q23",71,89,0.718905,0,1,14.0465316772461,0,"e1q4a.1","No","lb1"
"164","q23",71,92,6.375584,0,1,17.7854843139648,0,"e1q4a.1","No","lb1"
"165","q23",71,87,0.7189018,0,1,8.94942474365234,0,"e1q4a.1","No","lb1"
"166","q23",71,88,0.7189033,0,1,10.8099670410156,0,"e1q4a.1","No","lb1"
"167","q23",71,86,6.959655,0,1,6.91277313232422,0,"e1q4a.1","No","lb1"
"168","q24",42,7,4.259752,0,1,9.7909107208252,0,"e1q4a.2","No","lb1"
"169","q24",44,8,11.30015,0,1,37.2510223388672,0,"e1q4a.2","No","lb1"
"170","q24",44,9,10.379,1,1,28.3390636444092,0,"e1q4a.2","No","lb1"
"171","q24",45,10,27.36616,1,1,9.75901317596436,0,"e1q4a.2","No","lb1"
"172","q24",47,11,4.510783,1,1,1.59954833984375,1,"e1q4a.2","No","lb1"
"173","q24",49,12,2.885414,1,1,26.672534942627,0,"e1q4a.2","No","lb1"
"174","q24",50,20,0.7234604,0,1,20.6010589599609,0,"e1q4a.2","No","lb1"
"175","q24",50,19,0.7234613,0,1,20.5190601348877,0,"e1q4a.2","No","lb1"
"176","q24",50,15,5.884423,1,1,40.9631729125977,0,"e1q4a.2","No","lb1"
"177","q24",50,17,3.592865,1,1,35.1658325195312,0,"e1q4a.2","No","lb1"
"178","q24",50,18,13.79098,1,1,25.5408325195312,0,"e1q4a.2","No","lb1"
"179","q24",50,13,22.30284,1,1,-0.696052551269531,1,"e1q4a.2","No","lb1"
"180","q24",50,14,11.14571,1,1,16.8510818481445,0,"e1q4a.2","No","lb1"
"181","q24",50,16,7.497427,1,1,4.32124137878418,0,"e1q4a.2","No","lb1"
"182","q24",51,23,10.19774,1,1,33.2521438598633,0,"e1q4a.2","No","lb1"
"183","q24",51,21,8.904053,1,1,8.18355560302734,0,"e1q4a.2","No","lb1"
"184","q24",51,22,3.725707,1,1,14.6888275146484,0,"e1q4a.2","No","lb1"
"185","q24",51,26,21.39089,1,1,3.38097524642944,0,"e1q4a.2","No","lb1"
"186","q24",51,24,2.093788,0,1,43.5412788391113,0,"e1q4a.2","No","lb1"
"187","q24",51,25,1.74015,0,1,44.2113761901855,0,"e1q4a.2","No","lb1"
"188","q24",52,28,8.566562,1,1,24.1655426025391,0,"e1q4a.2","No","lb1"
"189","q24",52,27,1.634578,1,1,28.0426788330078,0,"e1q4a.2","No","lb1"
"190","q24",53,30,10.20786,1,1,18.0559539794922,0,"e1q4a.2","No","lb1"
"191","q24",53,31,9.747556,0,1,29.9561462402344,0,"e1q4a.2","No","lb1"
"192","q24",53,32,11.59849,0,1,0.028228759765625,1,"e1q4a.2","No","lb1"
"193","q24",53,29,5.382249,0,1,-0.00202178955078125,1,"e1q4a.2","No","lb1"
"194","q24",54,33,3.912047,0,1,15.6758260726929,0,"e1q4a.2","No","lb1"
"195","q24",54,34,9.678957,1,1,3.12576293945312,0,"e1q4a.2","No","lb1"
"196","q24",55,35,7.440761,1,1,-1.08300113677979,1,"e1q4a.2","No","lb1"
"197","q24",56,36,54.11135,1,1,-0.272613525390625,0,"e1q4a.2","No","lb1"
"198","q24",57,37,16.72068,1,1,16.1008148193359,0,"e1q4a.2","No","lb1"
"199","q24",58,41,15.98116,1,1,-0.3653564453125,1,"e1q4a.2","No","lb1"
"200","q24",58,40,2.97055,0,1,40.5837249755859,0,"e1q4a.2","No","lb1"
"201","q24",58,38,2.894382,0,1,9.58173370361328,0,"e1q4a.2","No","lb1"
"202","q24",58,39,6.070247,0,1,34.6306762695312,0,"e1q4a.2","No","lb1"
"203","q24",60,42,13.22548,0,1,0.001708984375,1,"e1q4a.2","No","lb1"
"204","q24",61,44,3.798423,0,1,6.28717041015625,0,"e1q4a.2","No","lb1"
"205","q24",61,43,31.92805,0,1,36.7327423095703,0,"e1q4a.2","No","lb1"
"206","q24",64,45,20.8596,0,1,-0.32623291015625,1,"e1q4a.2","No","lb1"
"207","q24",64,46,7.784727,0,1,-0.0881576538085938,1,"e1q4a.2","No","lb1"
"208","q24",64,47,7.780042,0,1,0.799331665039062,0,"e1q4a.2","No","lb1"
"209","q24",64,48,5.798759,0,1,1.61093139648438,1,"e1q4a.2","No","lb1"
"210","q24",64,49,3.562827,0,1,0.511466979980469,1,"e1q4a.2","No","lb1"
"211","q24",64,50,76.0993,1,1,36.1559181213379,0,"e1q4a.2","No","lb1"
"212","q24",64,55,18.42778,0,1,10.0204162597656,0,"e1q4a.2","No","lb1"
"213","q24",64,56,19.86178,1,1,3.60222196578979,0,"e1q4a.2","No","lb1"
"214","q24",64,52,67.31187,1,1,21.3503036499023,0,"e1q4a.2","No","lb1"
"215","q24",64,53,13.59358,0,1,-0.308090209960938,1,"e1q4a.2","No","lb1"
"216","q24",64,54,20.00465,1,1,22.3125629425049,0,"e1q4a.2","No","lb1"
"217","q24",64,51,3.743381,0,1,5.80246734619141,0,"e1q4a.2","No","lb1"
"218","q24",65,58,0.6837952,0,1,14.4792137145996,0,"e1q4a.2","No","lb1"
"219","q24",65,59,0.6769284,0,1,11.4471225738525,0,"e1q4a.2","No","lb1"
"220","q24",65,60,0.676928,0,1,10.7783918380737,0,"e1q4a.2","No","lb1"
"221","q24",65,57,1.815201,0,1,2.82475185394287,1,"e1q4a.2","No","lb1"
"222","q25",41,14,51.83867,1,1,19.9678840637207,0,"e1q5.1","No","bb1"
"223","q25",42,15,0.7105801,0,1,28.153636932373,0,"e1q5.1","No","bb1"
"224","q25",42,16,21.02899,1,1,6.99937343597412,0,"e1q5.1","No","bb1"
"225","q25",42,17,2.37078,1,1,3.33419108390808,0,"e1q5.1","No","bb1"
"226","q25",46,18,40.09209,0,1,8.86097145080566,0,"e1q5.1","No","bb1"
"227","q25",46,19,33.92163,1,1,0.99903678894043,0,"e1q5.1","No","bb1"
"228","q25",51,20,11.85309,0,1,0.814127802848816,1,"e1q5.1","No","bb1"
"229","q31",36,41,6.459239,0,1,0.848037719726562,1,"e2q2.3","No","lb2"
"230","q32",33,10,13.99388,0,1,17.2931156158447,0,"e2q2.4","No","lb2"
"231","q32",33,11,40.53746,1,1,34.7598190307617,0,"e2q2.4","No","lb2"
"232","q32",33,12,16.6323,0,1,25.4285888671875,0,"e2q2.4","No","lb2"
"233","q32",33,14,28.16582,1,1,6.02407073974609,0,"e2q2.4","No","lb2"
"234","q32",33,15,43.88078,0,1,11.1372680664062,0,"e2q2.4","No","lb2"
"235","q32",33,18,10.46256,0,1,4.3332257270813,0,"e2q2.4","No","lb2"
"236","q32",33,19,14.93719,0,1,26.1472034454346,0,"e2q2.4","No","lb2"
"237","q32",33,2,8.470727,0,1,1.17021179199219,1,"e2q2.4","No","lb2"
"238","q32",33,20,9.152171,1,1,2.07973551750183,0,"e2q2.4","No","lb2"
"239","q32",33,23,18.43176,0,1,10.4168634414673,0,"e2q2.4","No","lb2"
"240","q32",33,3,28.32499,1,1,7.0128173828125,0,"e2q2.4","No","lb2"
"241","q32",33,7,56.69354,1,1,12.2945251464844,0,"e2q2.4","No","lb2"
"242","q32",33,8,41.09557,1,1,24.8030548095703,0,"e2q2.4","No","lb2"
"243","q32",33,9,10.6171,0,1,27.9263687133789,0,"e2q2.4","No","lb2"
"244","q32",36,24,4.210982,0,1,0.30394446849823,1,"e2q2.4","No","lb2"
"245","q32",36,25,9.373589,1,1,2.59650564193726,0,"e2q2.4","No","lb2"
"246","q32",36,26,11.01046,0,1,-0.494674772024155,1,"e2q2.4","No","lb2"
"247","q32",48,27,1.316631,0,1,0.780388176441193,1,"e2q2.4","No","lb2"
